Date,Close,High,Low,Open,Volume
2020-01-02,13.894689559936523,13.9387998537904,13.850579266082647,13.9387998537904,117878
2020-01-03,13.806469917297363,13.93880080791719,13.806469917297363,13.894690511043915,172705
2020-01-06,13.850579261779785,13.93879984946013,13.806468967939614,13.806468967939614,118591
2020-01-07,13.894689559936523,13.9387998537904,13.850579266082647,13.850579266082647,149908
2020-01-08,13.850579261779785,13.894689555619959,13.806468967939614,13.894689555619959,101542
2020-01-09,13.938798904418945,13.938798904418945,13.850578322719898,13.894688613569421,164238
2020-01-10,14.027020454406738,14.027020454406738,13.894690406120118,13.982910999200483,309138
2020-01-13,13.894689559936523,13.9387998537904,13.762359519708774,13.806468972228773,673251
2020-01-14,13.806469917297363,13.93880080791719,13.762360461758023,13.894690511043915,140357
2020-01-15,13.806469917297363,13.85058021417064,13.806469917297363,13.806469917297363,84870
2020-01-16,13.806469917297363,13.894690511043915,13.762360461758023,13.806469917297363,82241
2020-01-17,13.806469917297363,13.85058021417064,13.762360461758023,13.806469917297363,34502
2020-01-20,13.806469917297363,13.894690511043915,13.806469917297363,13.806469917297363,74187
2020-01-30,13.233036994934082,13.453587611516317,13.18892670335087,13.409477319933103,628302
2020-01-31,13.27714729309082,13.365367034967091,13.233037001485767,13.365367034967091,178708
2020-02-03,13.1007080078125,13.188927756690806,12.96837712249419,13.1007080078125,256751
2020-02-04,13.144817352294922,13.806469249383603,13.144817352294922,13.806469249383603,286000
2020-02-05,13.1007080078125,13.1448174615847,13.1007080078125,13.1007080078125,151532
2020-02-06,13.1007080078125,13.1448174615847,13.056597712706397,13.1007080078125,109544
2020-02-07,13.056596755981445,13.14481649839543,13.056596755981445,13.14481649839543,126729
2020-02-10,13.1007080078125,13.188927756690806,13.056597712706397,13.056597712706397,106920
2020-02-11,13.144817352294922,13.233037941773638,13.100707898889459,13.233037941773638,52995
2020-02-12,13.233036994934082,13.233036994934082,13.144816411767655,13.18892670335087,56999
2020-02-13,13.27714729309082,13.321257584695873,13.233037001485767,13.233037001485767,69172
2020-02-14,13.233036994934082,13.32125757810051,13.233036994934082,13.277147286517296,115624
2020-02-17,13.144817352294922,13.233037941773638,13.144817352294922,13.233037941773638,108235
2020-02-18,13.188928604125977,13.23303890206632,13.188928604125977,13.188928604125977,69504
2020-02-19,13.188928604125977,13.277149200006667,13.14481830618563,13.188928604125977,111553
2020-02-20,13.144817352294922,13.233037941773638,13.144817352294922,13.144817352294922,109484
2020-02-21,13.056596755981445,13.14481649839543,13.056596755981445,13.14481649839543,307798
2020-02-24,13.1007080078125,13.233038051796909,13.056597712706397,13.056597712706397,50631
2020-02-25,13.1007080078125,13.1007080078125,12.96837712249419,13.056597712706397,110502
2020-02-26,13.1007080078125,13.1448174615847,13.056597712706397,13.1007080078125,37408
2020-02-27,12.92426586151123,13.144816479225305,12.92426586151123,13.144816479225305,284101
2020-03-02,12.880157470703125,12.924266924807812,12.703716288948744,12.83604717526453,242396
2020-03-03,13.012486457824707,13.012486457824707,12.92426587411948,12.92426587411948,93483
2020-03-04,13.012486457824707,13.012486457824707,12.968376165972094,12.968376165972094,30834
2020-03-05,13.056596755981445,13.056596755981445,13.012486464107534,13.012486464107534,74208
2020-03-06,13.012486457824707,13.012486457824707,12.968376165972094,13.012486457824707,57105
2020-03-09,12.703717231750488,12.924267883977643,12.703717231750488,12.924267883977643,178228
2020-03-10,12.747827529907227,12.747827529907227,12.527276877689683,12.571387176399986,109096
2020-03-11,12.791936874389648,12.836047169809497,12.791936874389648,12.836047169809497,41329
2020-03-12,12.350835800170898,12.659607031708738,12.30672550404636,12.659607031708738,355978
2020-03-13,11.821514129638672,11.909734723382487,11.556854031075098,11.909734723382487,513355
2020-03-16,11.512742042541504,11.821512392606824,11.468631752151083,11.821512392606824,255441
2020-03-17,11.203970909118652,11.512742102115556,11.159860618499978,11.203970909118652,317546
2020-03-18,11.027530670166016,11.203970992621906,10.762869765815266,11.203970992621906,315894
2020-03-19,9.92477798461914,10.674650435546129,9.92477798461914,10.674650435546129,381757
2020-03-20,10.409989356994629,10.454099648942448,9.924777828236307,9.924777828236307,231797
2020-03-23,9.968888282775879,9.968888282775879,9.571897331438306,9.571897331438306,167590
2020-03-24,10.145329475402832,10.542320460521374,10.012999427474625,10.012999427474625,188332
2020-03-25,10.409989356994629,10.718759717961676,10.277658481151173,10.277658481151173,189936
2020-03-26,10.409989356994629,10.454099648942448,10.277658481151173,10.409989356994629,52803
2020-03-27,10.586430549621582,10.674651140735325,10.498209958507838,10.498209958507838,156549
2020-03-30,10.586430549621582,10.586430549621582,10.189439572277553,10.365879913171131,54443
2020-03-31,10.674650192260742,10.718759642564446,10.58642960898566,10.674650192260742,116899
2020-04-01,10.674650192260742,10.762869934201987,10.630539900623202,10.630539900623202,65000
2020-04-06,10.54232120513916,10.586431504675438,10.54232120513916,10.586431504675438,27793
2020-04-07,10.586430549621582,10.806981186072031,10.542320254064709,10.586430549621582,46333
2020-04-08,10.851091384887695,10.851091384887695,10.674651045567144,10.674651045567144,66524
2020-04-09,10.762871742248535,10.983422396152537,10.67465198548732,10.851092340343726,113026
2020-04-10,10.98342227935791,10.98342227935791,10.80698192637772,10.98342227935791,40354
2020-04-13,11.027530670166016,11.115751252060871,10.67465002525423,10.983420379218586,93797
2020-04-14,11.115751266479492,11.159860716150316,11.071640975474848,11.071640975474848,76842
2020-04-15,11.645072937011719,11.645072937011719,11.071641643361101,11.115751937026657,198244
2020-04-16,11.248082160949707,11.380412202780267,11.15986157217341,11.248082160949707,93284
2020-04-17,11.3363037109375,11.55685436024497,11.3363037109375,11.512744062116685,127060
2020-04-20,11.203970909118652,11.248081199737326,11.11575116921512,11.203970909118652,108818
2020-04-21,10.895201683044434,11.203972066606749,10.806981092692972,11.203972066606749,141952
2020-04-22,10.80698013305664,10.80698013305664,10.409989194394795,10.674650100613967,109255
2020-04-23,10.80698013305664,10.939310165499313,10.718759550538973,10.80698013305664,37431
2020-04-24,10.80698013305664,10.851090424315473,10.718759550538973,10.851090424315473,147428
2020-04-27,11.203970909118652,11.248081199737326,10.806979976218216,10.806979976218216,163745
2020-04-28,11.115751266479492,11.115751266479492,10.983420393465556,11.027530684470202,18408
2020-04-29,11.3363037109375,11.380413167731827,11.248083114680929,11.248083114680929,222304
2020-04-30,11.60096263885498,11.68918322615194,11.248081972334885,11.380412011946452,395696
2020-05-04,11.380412101745605,11.380412101745605,11.159861473096784,11.380412101745605,366479
2020-05-05,11.512742042541504,11.512742042541504,11.292191431923214,11.380411171370243,124176
2020-05-06,11.380412101745605,11.556853277731767,11.336302649082945,11.556853277731767,96399
2020-05-07,11.42452335357666,11.468633651271416,11.29219330182634,11.29219330182634,241925
2020-05-08,11.468633651733398,11.600963703489048,11.468633651733398,11.600963703489048,112588
2020-05-11,11.60096263885498,11.64507293250346,11.512742892891893,11.60096263885498,100801
2020-05-12,11.42452335357666,11.600963703021737,11.380413055881903,11.600963703021737,123524
2020-05-13,11.556854248046875,11.556854248046875,11.380413057246686,11.380413057246686,56894
2020-05-14,11.380412101745605,11.468632689738685,11.336302649082945,11.468632689738685,75647
2020-05-15,11.3363037109375,11.380413167731827,11.3363037109375,11.380413167731827,52425
2020-05-18,11.42452335357666,11.42452335357666,11.380413055881903,11.380413055881903,15037
2020-05-19,11.512742042541504,11.556852332931925,11.468631752151083,11.556852332931925,32468
2020-05-20,11.42452335357666,11.556854246660931,11.336303599521097,11.512743948966174,198890
2020-05-21,11.556854248046875,11.556854248046875,11.424523354946734,11.424523354946734,89886
2020-05-22,11.468633651733398,11.556854247126466,11.424523354036864,11.512743949429932,117415
2020-05-25,11.953843116760254,12.086173144970203,11.424521321252852,11.556852190796603,1087500
2020-05-26,11.997953414916992,12.218504022975512,11.821512255403135,12.08617315334012,668764
2020-05-27,12.39494514465332,12.527275181533158,12.218504815035585,12.218504815035585,750626
2020-05-28,12.527276039123535,13.233038247243293,12.394945993184669,12.57138633488113,1398181
2020-05-29,12.39494514465332,12.571385474271056,12.306724559177525,12.527275181533158,267960
2020-06-01,12.39494514465332,12.527275181533158,12.306724559177525,12.439055437391218,406068
2020-06-02,12.350835800170898,12.439056392419973,12.30672550404636,12.350835800170898,150180
2020-06-03,12.439055442810059,12.483164894233315,12.350834857295832,12.350834857295832,145597
2020-06-04,12.439055442810059,12.52727518699043,12.350834857295832,12.483164894233315,119130
2020-06-05,12.306724548339844,12.439055426437001,12.306724548339844,12.439055426437001,361649
2020-06-08,12.39494514465332,12.439055437391218,12.262614266439627,12.306724559177525,468376
2020-06-09,12.439055442810059,12.483164894233315,12.394945150052946,12.439055442810059,252377
2020-06-10,12.439055442810059,12.483164894233315,12.350834857295832,12.394945150052946,221901
2020-06-11,12.130285263061523,12.439056497200298,12.042064670069324,12.350835904208097,467071
2020-06-12,11.865623474121094,11.909733767452506,11.600962555466486,11.733293435460723,296438
2020-06-15,11.689183235168457,11.909733862247109,11.689183235168457,11.909733862247109,249494
2020-06-16,11.777403831481934,11.821513283864078,11.689183244049893,11.733293537765913,325143
2020-06-17,12.262615203857422,12.262615203857422,11.865624221536008,11.909734517645925,454189
2020-06-18,12.703717231750488,13.056598780114317,11.953845518978547,12.306726226008406,901002
2020-06-19,12.48316478729248,12.703715407854778,12.48316478729248,12.703715407854778,269262
2020-06-22,12.968376159667969,12.968376159667969,12.350834598033082,12.439055181695425,413066
2020-06-23,12.65960693359375,12.968377321404624,12.65960693359375,12.968377321404624,142016
2020-06-24,12.615497589111328,12.703717345995168,12.571387290002418,12.703717345995168,132085
2020-06-29,12.39494514465332,12.527275181533158,12.39494514465332,12.527275181533158,71177
2020-06-30,12.527276039123535,12.659606926396316,12.394945993184669,12.394945993184669,172937
2020-07-01,12.615497589111328,12.703717345995168,12.4831666917846,12.703717345995168,81464
2020-07-02,12.615497589111328,12.659607888220236,12.4831666917846,12.659607888220236,109943
2020-07-03,12.571385383605957,12.61549567602573,12.483164798766412,12.61549567602573,60291
2020-07-06,12.527276039123535,12.659606926396316,12.394945993184669,12.615496630638724,465616
2020-07-07,12.571385383605957,12.703715419531427,12.527275091186185,12.659605968445504,181450
2020-07-08,12.527276039123535,12.615496630638724,12.527276039123535,12.615496630638724,124115
2020-07-09,12.571385383605957,12.703715419531427,12.483164798766412,12.527275091186185,290438
2020-07-10,12.439055442810059,12.615495772504657,12.439055442810059,12.571385479747542,209790
2020-07-13,12.48316478729248,12.48316478729248,12.439055336247101,12.48316478729248,78405
2020-07-14,12.439055442810059,12.52727518699043,12.439055442810059,12.52727518699043,49192
2020-07-15,12.571385383605957,12.571385383605957,12.439055347680487,12.527275091186185,101971
2020-07-16,12.48316478729248,12.615495664430169,12.439055336247101,12.615495664430169,145731
2020-07-17,12.439055442810059,12.52727518699043,12.394945150052946,12.483164894233315,151817
2020-07-20,12.306724548339844,12.439055426437001,12.306724548339844,12.439055426437001,114987
2020-07-21,12.48316478729248,12.52727507967171,12.350834751488643,12.350834751488643,105129
2020-07-22,12.350835800170898,12.48316584721059,12.350835800170898,12.48316584721059,33028
2020-07-23,12.350835800170898,12.439056392419973,12.350835800170898,12.394946096295435,38084
2020-07-24,12.350835800170898,12.48316584721059,12.30672550404636,12.48316584721059,81554
2020-07-27,12.130285263061523,12.306725607711996,12.086174966565423,12.306725607711996,182130
2020-07-28,11.997953414916992,12.306723761398638,11.953843125038528,12.306723761398638,183695
2020-07-29,12.086174011230469,12.174394597249394,12.042063718221005,12.174394597249394,43233
2020-07-30,12.086174011230469,12.174394597249394,12.042063718221005,12.13028430423993,38819
2020-07-31,12.086174011230469,12.174394597249394,12.086174011230469,12.174394597249394,47356
2020-08-03,11.953843116760254,12.086173144970203,11.909732826912336,12.086173144970203,113603
2020-08-04,11.953843116760254,12.042062855122287,11.953843116760254,11.99795340660817,81227
2020-08-05,12.04206371307373,12.04206371307373,11.909733675435765,11.909733675435765,33422
2020-08-06,11.997953414916992,12.130283443218584,11.953843125038528,12.130283443218584,64118
2020-08-07,11.953843116760254,12.042062855122287,11.953843116760254,11.99795340660817,55956
2020-08-10,12.086174011230469,12.086174011230469,11.997954266545404,11.997954266545404,68683
2020-08-11,12.04206371307373,12.086174006064338,11.953843968426375,12.086174006064338,65432
2020-08-12,11.953843116760254,11.99795340660817,11.953843116760254,11.99795340660817,86261
2020-08-13,11.997953414916992,12.08617315334012,11.997953414916992,12.08617315334012,53239
2020-08-14,12.04206371307373,12.086174006064338,11.997954261416982,11.997954261416982,53071
2020-08-17,12.130285263061523,12.130285263061523,12.086174966565423,12.086174966565423,68607
2020-08-18,12.174395561218262,12.218505857720379,12.130285264716145,12.218505857720379,71293
2020-08-19,12.174395561218262,12.218505857720379,12.130285264716145,12.174395561218262,35371
2020-08-20,11.865623474121094,12.086174099444289,11.821513180789681,12.086174099444289,267550
2020-08-21,11.997953414916992,12.08617315334012,11.909732835160064,11.909732835160064,45270
2020-08-24,11.997953414916992,12.042062863461656,11.909732835160064,11.953843125038528,43709
2020-08-25,12.04206371307373,12.086174006064338,11.997954261416982,12.04206371307373,33149
2020-08-26,12.086174011230469,12.086174011230469,12.042063718221005,12.042063718221005,20839
2020-08-27,12.086174011230469,12.13028430423993,12.042063718221005,12.086174011230469,46370
2020-08-28,12.04206371307373,12.174394592045555,12.04206371307373,12.130284299054946,46830
2020-08-31,12.086174011230469,12.13028430423993,12.042063718221005,12.042063718221005,151072
2020-09-01,12.086174011230469,12.174394597249394,12.086174011230469,12.086174011230469,158580
2020-09-02,11.997953414916992,12.130283443218584,11.997953414916992,12.08617315334012,175099
2020-09-03,12.04206371307373,12.086174006064338,11.997954261416982,12.04206371307373,72524
2020-09-04,12.04206371307373,12.086174006064338,11.997954261416982,12.04206371307373,62989
2020-09-07,12.086174011230469,12.086174011230469,12.042063718221005,12.042063718221005,177180
2020-09-08,12.174395561218262,12.174395561218262,12.086174968214028,12.086174968214028,111554
2020-09-09,12.174395561218262,12.174395561218262,12.086174968214028,12.174395561218262,131466
2020-09-10,12.218505859375,12.262615314549162,12.130285266358818,12.17439556286691,282067
2020-09-11,12.17291259765625,12.309686544763041,12.17291259765625,12.218503333633482,148038
2020-09-14,12.355279922485352,12.355279922485352,12.218505086172957,12.218505086172957,76655
2020-09-15,12.309687614440918,12.309687614440918,12.264096004914354,12.309687614440918,100794
2020-09-16,12.309687614440918,12.309687614440918,12.218504395387788,12.309687614440918,166425
2020-09-17,12.2640962600708,12.355279481021013,12.2640962600708,12.309687870545906,104122
2020-09-18,12.355279922485352,12.355279922485352,12.264096698277088,12.30968831038122,102665
2020-09-21,12.400869369506836,12.446460104063553,12.309686161218357,12.446460104063553,131164
2020-09-22,12.218504905700684,12.309688128562135,12.17291416385762,12.309688128562135,144229
2020-09-23,12.127323150634766,12.26409712208597,12.08173153695513,12.26409712208597,110213
2020-09-24,11.762590408325195,11.9905475935221,11.716999666955935,11.9905475935221,224032
2020-09-25,11.717000007629395,12.036139554431498,11.625816783064407,12.036139554431498,197877
2020-09-28,11.762590408325195,11.853773630239019,11.762590408325195,11.853773630239019,15435
2020-09-29,11.944957733154297,12.036140092205631,11.762591275876197,12.036140092205631,48781
2020-09-30,11.853772163391113,11.944955374021447,11.808180558075946,11.944955374021447,66032
2020-10-05,11.944957733154297,12.036140092205631,11.853774504515247,11.853774504515247,75337
2020-10-06,12.0817289352417,12.0817289352417,11.94495499324378,11.990545727518077,57616
2020-10-07,12.127323150634766,12.127323150634766,11.853774338144657,11.944957565503927,97940
2020-10-08,12.17291259765625,12.17291259765625,12.036137780961909,12.081729386526689,131896
2020-10-12,12.127323150634766,12.1729147643144,12.036139923275496,12.1729147643144,67155
