Code,Name,Market,Type
00913,兆豐台灣晶圓製造,TWSE,ETF
00915,凱基優選高股息30,TWSE,ETF
00916,國泰全球品牌50,TWSE,ETF
00917,中信特選金融,TWSE,ETF
00918,大華優利高填息30,TWSE,ETF
00919,群益台灣精選高息,TWSE,ETF
00920,富邦ESG綠色電力,TWSE,ETF
00921,兆豐龍頭等權重,TWSE,ETF
00922,國泰台灣領袖50,TWSE,ETF
00923,群益台ESG低碳50,TWSE,ETF
00924,復華S&P500成長,TWSE,ETF
00926,凱基全球菁英55,TWSE,ETF
00927,群益半導體收益,TWSE,ETF
00929,復華台灣科技優息,TWSE,ETF
00930,永豐ESG低碳高息,TWSE,ETF
00932,兆豐永續高息等權,TWSE,ETF
00934,中信成長高股息,TWSE,ETF
00935,野村臺灣新科技50,TWSE,ETF
00936,台新永續高息中小,TWSE,ETF
00938,凱基優選30,TWSE,ETF
00939,統一台灣高息動能,TWSE,ETF
00940,元大台灣價值高息,TWSE,ETF
00941,中信上游半導體,TWSE,ETF
00943,兆豐電子高息等權,TWSE,ETF
00944,野村趨勢動能高息,TWSE,ETF
00945B,凱基美國非投等債,TWSE,ETF
00946,群益科技高息成長,TWSE,ETF
00947,台新臺灣IC設計,TWSE,ETF
00949,復華日本龍頭,TWSE,ETF
00951,台新日本半導體,TWSE,ETF
00952,凱基台灣AI50,TWSE,ETF
00953B,群益優選非投等債,TWSE,ETF
00954,中信日本半導體,TWSE,ETF
00956,中信日經高股息,TWSE,ETF
00960,野村全球航運龍頭,TWSE,ETF
00961,FT臺灣永續高息,TWSE,ETF
00962,台新AI優息動能,TWSE,ETF
00963,中信全球高股息,TWSE,ETF
00964,中信亞太高股息,TWSE,ETF
00965,元大航太防衛科技,TWSE,ETF
00971,野村美國研發龍頭,TWSE,ETF
00972,野村日本動能高息,TWSE,ETF
009800,中信NASDAQ,TWSE,ETF
009801,中信美國創新科技,TWSE,ETF
009802,富邦旗艦50,TWSE,ETF
009803,玉山市值動能50,TWSE,ETF
009804,聯邦台精彩50,TWSE,ETF
009805,台新美國電力基建,TWSE,ETF
009808,華南永昌優選50,TWSE,ETF
009809,富邦淨零ESG50,TWSE,ETF
00980A,主動野村臺灣優選,TWSE,ETF
009810,玉山全球藍籌100,TWSE,ETF
009811,統一美國50,TWSE,ETF
009812,野村日本東證,TWSE,ETF
009813,貝萊德標普卓越50,TWSE,ETF
009816,凱基台灣TOP50,TWSE,ETF
009817,國泰日本不動產,TWSE,ETF
009818,華南永昌NASDAQxT,TWSE,ETF
